epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,377.983,0.51883,0.62065,0.55236,0.8753,0,0.99184,0.99731,0.99448,0.9211,0.99184,0.99731,0.99448,0.87294,0.40285,0.52037,0.44231,0.83091,0,0.00105638,0.00105638,0.00105638
39,387.51,0.48543,0.5859,0.51248,0.8719,0,0.99481,0.99555,0.99462,0.9054,0.99481,0.99555,0.99462,0.88099,0.43149,0.51736,0.4426,0.83113,0,0.00103987,0.00103987,0.00103987
40,397.014,0.48181,0.55749,0.52369,0.85205,0,0.99393,0.9931,0.99455,0.91332,0.99393,0.9931,0.99455,0.85561,0.40074,0.51277,0.43645,0.82452,0,0.00102337,0.00102337,0.00102337
41,406.512,0.48654,0.55037,0.52375,0.86308,0,0.99393,0.9931,0.99455,0.91332,0.99393,0.9931,0.99455,0.85561,0.40074,0.51277,0.43645,0.82452,0,0.00100687,0.00100687,0.00100687
42,415.92,0.49347,0.56728,0.52077,0.86028,0,0.99315,0.99174,0.99451,0.92101,0.99315,0.99174,0.99451,0.85133,0.39196,0.50744,0.43413,0.82537,0,0.000990365,0.000990365,0.000990365
43,425.44,0.4866,0.57782,0.51643,0.86005,0,0.99081,0.994,0.99452,0.91162,0.99081,0.994,0.99452,0.87096,0.38939,0.50802,0.4399,0.82709,0,0.000973861,0.000973861,0.000973861
44,434.867,0.44041,0.51282,0.52128,0.85994,0,0.99396,0.99655,0.99448,0.90943,0.99396,0.99655,0.99448,0.87554,0.40619,0.50072,0.44624,0.828,0,0.000957358,0.000957358,0.000957358
45,444.279,0.45027,0.56113,0.50033,0.85727,0,0.993,0.9931,0.99406,0.91444,0.993,0.9931,0.99406,0.84164,0.3972,0.51511,0.43402,0.82537,0,0.000940855,0.000940855,0.000940855
46,453.748,0.48236,0.56811,0.5124,0.877,0,0.99188,0.99439,0.99379,0.91368,0.99188,0.99439,0.99379,0.84513,0.39323,0.49983,0.42525,0.82162,0,0.000924352,0.000924352,0.000924352
47,463.235,0.45065,0.54402,0.48854,0.84567,0,0.99425,0.98966,0.99343,0.9298,0.99425,0.98966,0.99343,0.8623,0.38959,0.47136,0.4173,0.82176,0,0.000907848,0.000907848,0.000907848
48,472.768,0.47995,0.57868,0.47875,0.84452,0,0.99426,0.98891,0.99395,0.91362,0.99426,0.98891,0.99395,0.86112,0.4169,0.4665,0.4005,0.82678,0,0.000891345,0.000891345,0.000891345
49,482.159,0.46964,0.52798,0.49005,0.86757,0,0.98433,0.99655,0.99452,0.91465,0.98433,0.99655,0.99452,0.85093,0.40736,0.46931,0.40256,0.82429,0,0.000874842,0.000874842,0.000874842
50,491.628,0.47275,0.57296,0.48002,0.85043,0,0.99314,0.98717,0.99462,0.92147,0.99314,0.98717,0.99462,0.87042,0.37688,0.47552,0.40318,0.81996,0,0.000858338,0.000858338,0.000858338
51,501.1,0.46634,0.54829,0.47977,0.85241,0,0.99028,0.98942,0.99455,0.92426,0.99028,0.98942,0.99455,0.84948,0.37524,0.47887,0.40595,0.82052,0,0.000841835,0.000841835,0.000841835
52,510.63,0.47312,0.55871,0.47953,0.85723,0,0.98415,0.99655,0.99448,0.92705,0.98415,0.99655,0.99448,0.86754,0.35791,0.46626,0.41,0.81774,0,0.000825332,0.000825332,0.000825332
53,520.078,0.44714,0.54408,0.49129,0.85488,0,0.98795,0.9925,0.99438,0.91854,0.98795,0.9925,0.99438,0.88208,0.37884,0.44919,0.40243,0.82003,0,0.000808828,0.000808828,0.000808828
54,529.465,0.44232,0.49793,0.47728,0.85338,0,0.99053,0.99242,0.99434,0.92005,0.99053,0.99242,0.99434,0.8872,0.36758,0.44512,0.38952,0.81758,0,0.000792325,0.000792325,0.000792325
55,538.934,0.44244,0.53319,0.45577,0.84552,0,0.99122,0.9931,0.99386,0.91124,0.99122,0.9931,0.99386,0.90378,0.38343,0.44413,0.38866,0.81991,0,0.000775822,0.000775822,0.000775822
56,548.444,0.44315,0.54967,0.47076,0.8508,0,0.99466,0.99171,0.99358,0.9087,0.99466,0.99171,0.99358,0.90144,0.39764,0.44189,0.39481,0.82399,0,0.000759318,0.000759318,0.000759318
57,557.929,0.47956,0.53692,0.49549,0.85236,0,0.99466,0.99171,0.99358,0.9087,0.99466,0.99171,0.99358,0.90144,0.39764,0.44189,0.39481,0.82399,0,0.000742815,0.000742815,0.000742815
58,567.465,0.44344,0.52889,0.45852,0.85228,0,0.98843,1,0.99315,0.91774,0.98843,1,0.99315,0.87629,0.38057,0.44597,0.38157,0.82344,0,0.000726312,0.000726312,0.000726312
59,576.93,0.41188,0.44793,0.4303,0.84768,0,0.99327,0.99262,0.99302,0.93168,0.99327,0.99262,0.99302,0.86809,0.36173,0.44308,0.37752,0.8243,0,0.000709809,0.000709809,0.000709809
60,586.414,0.43847,0.52264,0.45641,0.84443,0,0.99009,0.99608,0.99288,0.92411,0.99009,0.99608,0.99288,0.86366,0.38605,0.44947,0.37461,0.82757,0,0.000693305,0.000693305,0.000693305
61,595.934,0.43173,0.5155,0.46098,0.84603,0,0.98627,0.9992,0.99272,0.91984,0.98627,0.9992,0.99272,0.8687,0.39949,0.45294,0.3722,0.82633,0,0.000676802,0.000676802,0.000676802
62,605.386,0.41735,0.46675,0.468,0.85016,0,0.98383,1,0.99284,0.90843,0.98383,1,0.99284,0.86404,0.39793,0.45572,0.37725,0.82328,0,0.000660299,0.000660299,0.000660299
63,614.837,0.40235,0.46559,0.43344,0.82817,0,0.98064,1,0.99323,0.92209,0.98064,1,0.99323,0.85892,0.38521,0.44331,0.38357,0.82171,0,0.000643795,0.000643795,0.000643795
64,624.268,0.423,0.52439,0.43864,0.84736,0,0.98487,0.99638,0.99342,0.93878,0.98487,0.99638,0.99342,0.854,0.36038,0.43216,0.38187,0.81894,0,0.000627292,0.000627292,0.000627292
65,633.767,0.41711,0.46709,0.43722,0.83794,0,0.98447,0.99798,0.99353,0.92724,0.98447,0.99798,0.99353,0.86098,0.36391,0.42358,0.37986,0.81918,0,0.000610789,0.000610789,0.000610789
66,643.314,0.3983,0.48335,0.42976,0.83191,0,0.9914,0.99068,0.99372,0.9291,0.9914,0.99068,0.99372,0.86694,0.36785,0.42253,0.36958,0.82044,0,0.000594286,0.000594286,0.000594286
67,652.674,0.42264,0.5031,0.4195,0.84532,0,0.99221,0.99249,0.99358,0.93243,0.99221,0.99249,0.99358,0.87301,0.35678,0.4245,0.35695,0.81777,0,0.000577782,0.000577782,0.000577782
68,662.106,0.40438,0.48318,0.44153,0.83548,0,0.98905,0.99571,0.99356,0.93053,0.98905,0.99571,0.99356,0.87029,0.35717,0.42116,0.35173,0.81805,0,0.000561279,0.000561279,0.000561279
69,671.505,0.37682,0.4393,0.40349,0.83282,0,0.98665,1,0.99336,0.9466,0.98665,1,0.99336,0.86424,0.34841,0.4121,0.34565,0.81778,0,0.000544776,0.000544776,0.000544776
70,681.095,0.42329,0.50699,0.44625,0.83822,0,0.98676,0.99977,0.99349,0.93564,0.98676,0.99977,0.99349,0.87888,0.35903,0.40624,0.34943,0.81902,0,0.000528272,0.000528272,0.000528272
71,690.55,0.39844,0.46383,0.42034,0.83609,0,0.98401,1,0.99349,0.92483,0.98401,1,0.99349,0.86885,0.35259,0.40824,0.3519,0.81932,0,0.000511769,0.000511769,0.000511769
72,700.031,0.39817,0.47236,0.42138,0.82456,0,0.98355,1,0.99356,0.93306,0.98355,1,0.99356,0.87239,0.35774,0.41145,0.35296,0.81825,0,0.000495266,0.000495266,0.000495266
73,709.497,0.40139,0.5362,0.41153,0.83054,0,0.98355,1,0.99356,0.93306,0.98355,1,0.99356,0.87239,0.35774,0.41145,0.35296,0.81825,0,0.000478762,0.000478762,0.000478762
74,718.966,0.4284,0.49834,0.43085,0.85341,0,0.98435,0.99902,0.9938,0.93151,0.98435,0.99902,0.9938,0.85304,0.36857,0.41579,0.35488,0.81886,0,0.000462259,0.000462259,0.000462259
75,728.48,0.41348,0.51101,0.40922,0.83852,0,0.99138,0.9931,0.9942,0.92168,0.99138,0.9931,0.9942,0.86877,0.36343,0.41143,0.35066,0.81887,0,0.000445756,0.000445756,0.000445756
